name,region,municipality,address,latitude,longitude,power_station,connector,curret,power_charger
SAVE MALL PLAZA CALAMA - 1,Antofagasta,Calama,Av Balmaceda 3242,-2.244.874,-6.892.074,7,4,Conector Tipo 2,AC,7,4
SAVE MALL PLAZA CALAMA - 2,Antofagasta,Calama,Av Balmaceda 3242,-2.244.874,-6.892.074,7,4,Conector Tipo 2,AC,7,4
Patio Alonso de Cordova - 1,Metropolitana,Vitacura,alonso de cordova 3788,-3.340.187,-7.059.291,7,Conector Tipo 1,AC,7
Patio Alonso de Cordova - 2,Metropolitana,Vitacura,alonso de cordova 3788,-3.340.187,-7.059.291,7,Conector Tipo 2,AC,7
Enel X - Shell Laguna Caren - 1,Metropolitana,Pudahuel,Ruta 68 Sur KM 18.5,-334.398,-7.084.116,50,Combinado Tipo 2,DC,50
Enel X - Shell Laguna Caren - 1,Metropolitana,Pudahuel,Ruta 68 Sur KM 18.5,-334.398,-7.084.116,50,CHAdeMO,DC,50
Enel X - Shell Laguna Caren - 1,Metropolitana,Pudahuel,Ruta 68 Sur KM 18.5,-334.398,-7.084.116,50,Conector Tipo 2,AC,43
Centro Parque Araucano - 1,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 2,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 3,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 4,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 5,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 6,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 7,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 8,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 2,AC,7
Centro Parque Araucano - 9,Metropolitana,Las Condes,Presidente riesco 5330,-3.339.742,-7.055.966,7,Conector Tipo 1,AC,7
Mall Barrio Independencia - 1,Metropolitana,Independencia,Independencia 565,-3.342.463,-7.065.481,14,Conector Tipo 1,AC,7
Mall Barrio Independencia - 1,Metropolitana,Independencia,Independencia 565,-3.342.463,-7.065.481,14,Conector Tipo 2,AC,7
Mall del Centro - 1,Biobío,Concepción,Barros Arana 1068,-3.682.469,-7.304.527,14,Conector Tipo 2,AC,7
Mall del Centro - 1,Biobío,Concepción,Barros Arana 1068,-3.682.469,-7.304.527,14,Conector Tipo 1,AC,7
Boulevard Marina - 1,Valparaíso,Vina del Mar,Libertad 1348,-3.300.917,-715.485,14,Conector Tipo 1,AC,7
Boulevard Marina - 1,Valparaíso,Vina del Mar,Libertad 1348,-3.300.917,-715.485,14,Conector Tipo 2,AC,7
Mall Curicó - 1,Maule,Curicó,Villota 798,-3.498.804,-7.124.589,44,Conector Tipo 2,AC,22
Mall Curicó - 1,Maule,Curicó,Villota 798,-3.498.804,-7.124.589,44,Conector Tipo 2,AC,22
Mall Marina - 1,Valparaíso,Vina del Mar,Libertad 1348,-3.300.932,-7.154.674,14,Conector Tipo 1,AC,7
Mall Marina - 1,Valparaíso,Vina del Mar,Libertad 1348,-3.300.932,-7.154.674,14,Conector Tipo 2,AC,7
SAVE Mall Plaza La Serena - 1,Coquimbo,La Serena,alberto solari 1400,-2.991.254,-7.125.842,7,4,Conector Tipo 2,AC,7,4
SAVE Mall Plaza La Serena - 2,Coquimbo,La Serena,alberto solari 1400,-2.991.254,-7.125.842,7,4,Conector Tipo 2,AC,7,4
PUNTO DE CARGA DOBLE EVBOX MPOE - 1,Metropolitana,Cerrillos,Av. Americo Vespucio 1501,-33.517,-70.717,7,4,Conector Tipo 1,AC,7,4
PUNTO DE CARGA DOBLE EVBOX MPOE - 2,Metropolitana,Cerrillos,Av. Americo Vespucio 1501,-33.517,-70.717,7,4,Conector Tipo 1,AC,7,4
PUNTO DE CARGA DOBLE EVBOX MPOE - 3,Metropolitana,Cerrillos,Av. Americo Vespucio 1501,-33.517,-70.717,7,4,Conector Tipo 1,AC,7,4
PUNTO DE CARGA DOBLE EVBOX MPOE - 4,Metropolitana,Cerrillos,Av. Americo Vespucio 1501,-33.517,-70.717,7,4,Conector Tipo 1,AC,7,4
Mall Sport - 1,Metropolitana,Las Condes,Avenida Las Condes 13451,-3.337.041,-7.050.717,6,6,Conector Tipo 1,AC,6,6
Mall Sport - 1,Metropolitana,Las Condes,Avenida Las Condes 13451,-3.337.041,-7.050.717,6,6,Conector Tipo 2,AC,6,6
Movicenter Huechuraba - 1,Metropolitana,Huechuraba,Americo Vespucio Norte 1155,-3.337.014,-706.626,14,Conector Tipo 2,AC,7
Movicenter Huechuraba - 1,Metropolitana,Huechuraba,Americo Vespucio Norte 1155,-3.337.014,-706.626,14,Conector Tipo 1,AC,7
Alejandro Fleming Frente N° 7501 - 1,Metropolitana,Las Condes,Alejandro Fleming N/A,-3.342.545,-7.055.409,48,Conector Tipo 2,AC,22
Alejandro Fleming Frente N° 7501 - 1,Metropolitana,Las Condes,Alejandro Fleming N/A,-3.342.545,-7.055.409,48,Conector Tipo 2,AC,22
Entrada Jumbo - 1,Metropolitana,Las Condes,Juan de Austria N/A,-3.343.089,-7.057.912,48,Conector Tipo 2,AC,22
Entrada Jumbo - 1,Metropolitana,Las Condes,Juan de Austria N/A,-3.343.089,-7.057.912,48,Conector Tipo 2,AC,22
Estadio Francés - 1,Metropolitana,Las Condes,Presidente Errazuriz N/A,-3.342.129,-705.953,48,Conector Tipo 2,AC,22
Estadio Francés - 1,Metropolitana,Las Condes,Presidente Errazuriz N/A,-3.342.129,-705.953,48,Conector Tipo 2,AC,22
Inversión Vida Parque SA - 1,Metropolitana,Las Condes,Av. Plaza N/A,-333.927,-7.050.372,48,Conector Tipo 2,AC,22
Inversión Vida Parque SA - 1,Metropolitana,Las Condes,Av. Plaza N/A,-333.927,-7.050.372,48,Conector Tipo 2,AC,22
Presidente Errazuriz frente al Nº 3753 - 1,Metropolitana,Las Condes,Presidente Errazuriz N/A,-3.342.027,-7.058.846,48,Conector Tipo 2,AC,44
Presidente Errazuriz frente al Nº 3753 - 1,Metropolitana,Las Condes,Presidente Errazuriz N/A,-3.342.027,-7.058.846,48,Conector Tipo 2,AC,44
CARGADORES ELECTRICOS MALL PLAZA COPIAPO - 1,Atacama,Copiapó,MAIPU 109,-2.736.866,-7.033.909,7,4,Conector Tipo 2,AC,7,4
CARGADORES ELECTRICOS MALL PLAZA COPIAPO - 2,Atacama,Copiapó,MAIPU 109,-2.736.866,-7.033.909,7,4,Conector Tipo 2,AC,7,4
ELECTROLINERA MALL PLAZA ARICA - 1,Arica y Parinacota,Arica,Avenida Diego Portales 640,-1.846.971,-7.030.857,7,4,Conector Tipo 2,AC,7,4
ELECTROLINERA MALL PLAZA ARICA - 2,Arica y Parinacota,Arica,Avenida Diego Portales 640,-1.846.971,-7.030.857,7,4,Conector Tipo 2,AC,7,4
ESTACIÓN DE CARGA PARA VEHÍCULOS PLAZA ALAMEDA - 1,Metropolitana,Estación Central,Avenida Libertador Bernardo O´Higgins 3470,-3.345.273,-7.068.224,7,4,Conector Tipo 2,AC,7,4
ESTACIÓN DE CARGA PARA VEHÍCULOS PLAZA ALAMEDA - 2,Metropolitana,Estación Central,Avenida Libertador Bernardo O´Higgins 3470,-3.345.273,-7.068.224,7,4,Conector Tipo 2,AC,7,4
PUNTO DE CARGA DOBLE EV-BOX MALL PLAZA SUR - 1,Metropolitana,San Bernardo,AV. PRESIDENTE JORGE ALESSANDRI 20040,-336.317,-707.104,7,4,Conector Tipo 2,AC,7,4
PUNTO DE CARGA DOBLE EV-BOX MALL PLAZA SUR - 2,Metropolitana,San Bernardo,AV. PRESIDENTE JORGE ALESSANDRI 20040,-336.317,-707.104,7,4,Conector Tipo 2,AC,7,4
PUNTO DE RECARGA DOBLE EV-BOX - 1,Metropolitana,Huechuraba,avenida Americo Vespucio 1737,-3.336.669,-706.788,7,4,Conector Tipo 2,AC,7,4
PUNTO DE RECARGA DOBLE EV-BOX - 2,Metropolitana,Huechuraba,avenida Americo Vespucio 1737,-3.336.669,-706.788,7,4,Conector Tipo 2,AC,7,4
PUNTO DE RECARGA DOBLE EV-BOX - 3,Metropolitana,Huechuraba,avenida Americo Vespucio 1737,-3.336.669,-706.788,7,4,Conector Tipo 2,AC,7,4
PUNTO DE RECARGA DOBLE EV-BOX - 4,Metropolitana,Huechuraba,avenida Americo Vespucio 1737,-3.336.669,-706.788,7,4,Conector Tipo 2,AC,7,4
Parque Arauco, Presidente Kennedy Nº 5413 - 1,Metropolitana,Las Condes,Presidente Kennedy 5413,-334.018,-7.057.972,14,Conector Tipo 2,AC,7
Parque Arauco, Presidente Kennedy Nº 5413 - 1,Metropolitana,Las Condes,Presidente Kennedy 5413,-334.018,-7.057.972,14,Conector Tipo 2,AC,7
Luz Del Norte - 1,Atacama,Copiapó,Ruta C-17 46,-2.701.836,-6.990.014,44,Conector Tipo 2,AC,22
Luz Del Norte - 1,Atacama,Copiapó,Ruta C-17 46,-2.701.836,-6.990.014,44,Conector Tipo 2,AC,22
